Features	Z-stat	p-val
00	1.2233355473670322	0.26870704144666147
000	14.691705283171938	0.00012660229132705175
008	0.3118131868131868	0.5765696670531635
00am	0.9016414936018462	0.3423419474106612
00pm	2.1231227778584603	0.1450904483210133
01	1.6908249156711475	0.1934922628281192
012	0.3118131868131868	0.5765696670531635
017	0.3118131868131868	0.5765696670531635
02	0.2194294978451029	0.6394749565824929
024	0.6236263736263736	0.429702886455403
03	1.6321403374555685	0.20140726523346977
04	6.961199799649687	0.008329615757561146
047	0.6236263736263736	0.429702886455403
05	0.1758595733307701	0.6749558722918669
06	0.09099087574426232	0.7629212216283248
07	0.9908089056061775	0.31954475123977033
079	0.3118131868131868	0.5765696670531635
08	0.00399413973202528	0.9496078764518049
09	2.826101599346707	0.09274323887745047
090	0.3118131868131868	0.5765696670531635
0900	3.20704845814978	0.07332163858419319
0930	0.3118131868131868	0.5765696670531635
0d	0.3118131868131868	0.5765696670531635
0f	3.20704845814978	0.07332163858419319
0p	3.20704845814978	0.07332163858419319
0x3	0.15143373513417566	0.6971689777482954
10	0.004359805004011804	0.9473548808750182
100	0.022570942093221254	0.8805781974650458
1000	0.0034426772820537474	0.9532115038873422
1000mg	0.3118131868131868	0.5765696670531635
100k	1.2472527472527473	0.2640778370524753
101	1.4074924446227153	0.23547310808519217
102	0.6236263736263736	0.429702886455403
1030	0.6236263736263736	0.429702886455403
1039	0.7594308224814832	0.3835067039973348
105	3.20704845814978	0.07332163858419319
106	0.3118131868131868	0.5765696670531635
1099	0.3118131868131868	0.5765696670531635
10a	0.3118131868131868	0.5765696670531635
10am	3.0377232899259328	0.08134993732730943
10days	0.3118131868131868	0.5765696670531635
10m	3.20704845814978	0.07332163858419319
10mg	0.3118131868131868	0.5765696670531635
10pm	0.3118131868131868	0.5765696670531635
10th	0.9354395604395604	0.3334534362617816
10yo	0.003341784867115266	0.9539014279451237
10yr	0.3118131868131868	0.5765696670531635
10yrs	0.6236263736263736	0.429702886455403
11	0.10886155664034615	0.7414439783275051
110	1.5188616449629664	0.21779184160212853
1100	0.9354395604395604	0.3334534362617816
110k	0.3118131868131868	0.5765696670531635
110month	0.3118131868131868	0.5765696670531635
111	3.20704845814978	0.07332163858419319
112	0.6236263736263736	0.429702886455403
113	0.3118131868131868	0.5765696670531635
114	0.3118131868131868	0.5765696670531635
115	0.6236263736263736	0.429702886455403
116	0.6236263736263736	0.429702886455403
117k	0.3118131868131868	0.5765696670531635
118	0.7594308224814832	0.3835067039973348
1180	0.3118131868131868	0.5765696670531635
11am	0.07842377886430749	0.7794449299734257
11k	0.3118131868131868	0.5765696670531635
11l	0.3118131868131868	0.5765696670531635
11pm	0.3118131868131868	0.5765696670531635
11th	0.3118131868131868	0.5765696670531635
11wks	0.3118131868131868	0.5765696670531635
11yo	1.5188616449629664	0.21779184160212853
12	11.933743601048862	0.0005512629194848635
120	1.3080333763153145	0.2527510321829139
1200	0.7269025027835601	0.39388905412955455
1216	0.3118131868131868	0.5765696670531635
1217	3.20704845814978	0.07332163858419319
123	0.3118131868131868	0.5765696670531635
124	6.41409691629956	0.011321789228352705
1240	0.3118131868131868	0.5765696670531635
125	1.5780370052121153	0.20904367376222982
125k	0.3118131868131868	0.5765696670531635
126	0.3118131868131868	0.5765696670531635
127	0.7594308224814832	0.3835067039973348
129	0.6236263736263736	0.429702886455403
12k	0.7594308224814832	0.3835067039973348
12l	0.3118131868131868	0.5765696670531635
12mo	0.3118131868131868	0.5765696670531635
12months	0.3118131868131868	0.5765696670531635
12pm	0.003341784867115266	0.9539014279451237
12wks	0.6236263736263736	0.429702886455403
12yo	0.3118131868131868	0.5765696670531635
13	5.436753567739517	0.019717283980284155
130	0.003341784867115266	0.9539014279451237
1300	0.9354395604395604	0.3334534362617816
130s	0.3118131868131868	0.5765696670531635
132	0.7594308224814832	0.3835067039973348
133	0.3118131868131868	0.5765696670531635
134	0.3118131868131868	0.5765696670531635
135	0.6236263736263736	0.429702886455403
136	3.20704845814978	0.07332163858419319
1375	6.41409691629956	0.011321789228352705
1377	0.3118131868131868	0.5765696670531635
138	0.6236263736263736	0.429702886455403
139	3.20704845814978	0.07332163858419319
13doses	0.3118131868131868	0.5765696670531635
13pm	0.3118131868131868	0.5765696670531635
14	1.8037015911814653	0.1792656339707056
140	0.03921188943215374	0.8430294770053507
1400	1.5188616449629664	0.21779184160212853
142	0.6236263736263736	0.429702886455403
1441	0.3118131868131868	0.5765696670531635
145	0.6236263736263736	0.429702886455403
1460	0.3118131868131868	0.5765696670531635
149	0.3118131868131868	0.5765696670531635
1497	3.20704845814978	0.07332163858419319
14l	3.0466690064707693	0.08090291644637876
14m	3.20704845814978	0.07332163858419319
14mo	0.3118131868131868	0.5765696670531635
14yo	5.7938123275403015	0.016082675701724336
15	0.0026549879470157828	0.9589059260634799
150	1.3080333763153145	0.2527510321829139
1500	1.870879120879121	0.17137442666699626
150hrs	0.3118131868131868	0.5765696670531635
150mg	0.3118131868131868	0.5765696670531635
150s	3.20704845814978	0.07332163858419319
151	0.3118131868131868	0.5765696670531635
152	0.3118131868131868	0.5765696670531635
1550	0.3118131868131868	0.5765696670531635
1558	0.3118131868131868	0.5765696670531635
156	0.3118131868131868	0.5765696670531635
158	0.3118131868131868	0.5765696670531635
15min	0.7594308224814832	0.3835067039973348
15p	0.3118131868131868	0.5765696670531635
15pm	1.2472527472527473	0.2640778370524753
15t	0.3118131868131868	0.5765696670531635
15th	0.3118131868131868	0.5765696670531635
15yo	0.6236263736263736	0.429702886455403
